tick_ms,valid_fix,fix_type,satellites,latitude_deg,longitude_deg,altitude_m,speed_mps,course_deg,hdop
60094,1,1,10,39.97367096,-105.14991760,1666.7000,0.2207,0.0000,1.0600
60245,1,1,10,39.97367096,-105.14991760,1666.6000,0.2207,0.0000,1.0600
61064,1,1,10,39.97366333,-105.14992523,1666.6000,0.0916,0.0000,1.0600
61181,1,1,10,39.97366333,-105.14992523,1665.6000,0.0916,0.0000,1.0600
62118,1,1,10,39.97365952,-105.14993286,1665.6000,0.0484,0.0000,1.0600
62241,1,1,10,39.97365952,-105.14993286,1664.9000,0.0484,0.0000,1.0600
63098,1,1,10,39.97365570,-105.14993286,1664.9000,0.0252,0.0000,1.0600
63213,1,1,10,39.97365570,-105.14993286,1664.5000,0.0252,0.0000,1.0600
64080,1,1,10,39.97365570,-105.14993286,1664.5000,0.0226,0.0000,1.0600
64232,1,1,10,39.97365570,-105.14993286,1663.9000,0.0226,0.0000,1.0600
65085,1,1,10,39.97365189,-105.14994049,1663.9000,0.0458,0.0000,1.0600
65271,1,1,10,39.97365189,-105.14994049,1663.5000,0.0458,0.0000,1.0600
66100,1,1,10,39.97365189,-105.14994049,1663.5000,0.0139,0.0000,1.0600
66248,1,1,10,39.97365189,-105.14994049,1663.3000,0.0139,0.0000,1.0600
67129,1,1,10,39.97364426,-105.14994812,1663.3000,0.1060,0.0000,1.0600
67327,1,1,10,39.97364426,-105.14994812,1662.4000,0.1060,0.0000,1.0600
68092,1,1,10,39.97364426,-105.14994812,1662.4000,0.0700,0.0000,1.0600
68242,1,1,10,39.97364426,-105.14994812,1662.2000,0.0700,0.0000,1.0600
69117,1,1,10,39.97364044,-105.14995575,1662.2000,0.2140,0.0000,1.0600
69265,1,1,10,39.97364044,-105.14995575,1661.4000,0.2140,0.0000,1.0600
70067,1,1,10,39.97364044,-105.14995575,1661.4000,0.0489,0.0000,1.0600
70245,1,1,10,39.97364044,-105.14995575,1661.2000,0.0489,0.0000,1.0600
71033,1,1,10,39.97363663,-105.14995575,1661.2000,0.0309,0.0000,1.0600
71202,1,1,10,39.97363663,-105.14995575,1660.8000,0.0309,0.0000,1.0600
72045,1,1,10,39.97363281,-105.14995575,1660.8000,0.0509,0.0000,1.0600
72258,1,1,10,39.97363281,-105.14995575,1660.1000,0.0509,0.0000,1.0600
73049,1,1,10,39.97362900,-105.14996338,1660.1000,0.1137,0.0000,1.0600
73319,1,1,10,39.97362900,-105.14996338,1659.6000,0.1137,0.0000,1.0600
74049,1,1,10,39.97362900,-105.14996338,1659.6000,0.0911,0.0000,1.0600
74250,1,1,10,39.97362900,-105.14996338,1659.5000,0.0911,0.0000,1.0600
75060,1,1,10,39.97362900,-105.14996338,1659.5000,0.1121,0.0000,1.0600
75219,1,1,10,39.97362900,-105.14996338,1658.9000,0.1121,0.0000,1.0600
76191,1,1,10,39.97363281,-105.14996338,1658.1000,0.6719,0.0000,1.0600
77072,1,1,10,39.97363663,-105.14996338,1658.1000,0.2711,0.0000,1.0600
77209,1,1,10,39.97363663,-105.14996338,1657.3000,0.2711,0.0000,1.0600
78092,1,1,10,39.97363281,-105.14997101,1657.3000,0.0967,0.0000,1.0600
78203,1,1,10,39.97363281,-105.14997101,1656.7000,0.0967,0.0000,1.0600
79083,1,1,10,39.97363281,-105.14996338,1656.7000,0.2649,0.0000,1.0600
79201,1,1,10,39.97363281,-105.14996338,1656.3000,0.2649,0.0000,1.0600
80074,1,1,10,39.97363281,-105.14996338,1656.3000,0.3653,0.0000,1.0600
80190,1,1,10,39.97363281,-105.14996338,1655.7000,0.3653,0.0000,1.0600
81128,1,1,10,39.97363281,-105.14996338,1655.7000,0.3390,0.0000,1.0600
81291,1,1,10,39.97363281,-105.14996338,1655.2000,0.3390,0.0000,1.0600
82116,1,1,10,39.97363281,-105.14996338,1655.2000,0.3226,0.0000,1.0600
82269,1,1,10,39.97363281,-105.14996338,1654.5000,0.3226,0.0000,1.0600
83095,1,1,10,39.97363281,-105.14995575,1654.5000,0.2829,0.0000,1.0600
83363,1,1,8,39.97363281,-105.14995575,1654.1000,0.2829,0.0000,1.0900
84076,1,1,8,39.97363281,-105.14995575,1654.1000,0.0767,0.0000,1.0900
84230,1,1,10,39.97363281,-105.14995575,1653.7000,0.0767,0.0000,0.9100
85070,1,1,10,39.97362900,-105.14996338,1653.7000,0.0448,0.0000,0.9100
85223,1,1,9,39.97362900,-105.14996338,1652.9000,0.0448,0.0000,0.9300
86094,1,1,9,39.97362900,-105.14996338,1652.9000,0.0581,0.0000,0.9300
86248,1,1,9,39.97362900,-105.14996338,1652.4000,0.0581,0.0000,0.9300
87038,1,1,9,39.97362518,-105.14997101,1652.4000,0.2171,0.0000,0.9300
87151,1,1,9,39.97362518,-105.14997101,1651.6000,0.2171,0.0000,0.9300
88038,1,1,9,39.97362518,-105.14997101,1651.6000,0.1096,0.0000,0.9300
88188,1,1,8,39.97362518,-105.14997101,1651.6000,0.1096,0.0000,1.0900
89071,1,1,8,39.97362518,-105.14996338,1651.6000,0.1523,0.0000,1.0900
89222,1,1,8,39.97362518,-105.14996338,1651.8000,0.1523,0.0000,1.0900
90051,1,1,8,39.97362518,-105.14996338,1651.8000,0.2392,0.0000,1.0900
90253,1,1,9,39.97362518,-105.14996338,1652.0000,0.2392,0.0000,1.0200
91046,1,1,9,39.97362900,-105.14996338,1652.0000,0.4162,0.0000,1.0200
91191,1,1,10,39.97362900,-105.14996338,1652.7000,0.4162,0.0000,0.9500
92067,1,1,10,39.97362518,-105.14996338,1652.7000,0.0499,0.0000,0.9500
92229,1,1,10,39.97362518,-105.14996338,1652.5000,0.0499,0.0000,0.9500
93066,1,1,10,39.97362900,-105.14995575,1652.5000,0.1620,0.0000,0.9500
93210,1,1,10,39.97362900,-105.14995575,1652.7000,0.1620,0.0000,0.9500
94040,1,1,10,39.97362900,-105.14995575,1652.7000,0.1152,0.0000,0.9500
94225,1,1,11,39.97362900,-105.14995575,1652.9000,0.1152,0.0000,0.8500
95048,1,1,11,39.97362900,-105.14995575,1652.9000,0.1106,0.0000,0.8500
95201,1,1,11,39.97362900,-105.14995575,1653.5000,0.1106,0.0000,0.8500
96049,1,1,11,39.97362900,-105.14995575,1653.5000,0.0185,0.0000,0.8500
96169,1,1,11,39.97362900,-105.14995575,1653.4000,0.0185,0.0000,0.8500
97140,1,1,11,39.97362900,-105.14995575,1653.4000,0.2474,0.0000,0.8500
97264,1,1,10,39.97362900,-105.14995575,1653.9000,0.2474,0.0000,1.0600
98068,1,1,10,39.97363281,-105.14994812,1653.9000,0.1898,0.0000,1.0600
98223,1,1,10,39.97363281,-105.14994812,1654.3000,0.1898,0.0000,1.0600
99109,1,1,10,39.97363281,-105.14994812,1654.3000,0.0211,0.0000,1.0600
99308,1,1,10,39.97363281,-105.14994812,1654.4000,0.0211,0.0000,1.0600
100065,1,1,10,39.97363281,-105.14994812,1654.4000,0.2228,0.0000,1.0600
100219,1,1,8,39.97363281,-105.14994812,1654.5000,0.2228,0.0000,1.4200
101097,1,1,8,39.97363281,-105.14994812,1654.5000,0.2248,0.0000,1.4200
101211,1,1,8,39.97363281,-105.14994812,1654.2000,0.2248,0.0000,1.4200
102128,1,1,8,39.97363281,-105.14994812,1654.2000,0.1662,0.0000,1.4200
102290,1,1,8,39.97363281,-105.14994812,1654.1000,0.1662,0.0000,1.4200
103117,1,1,8,39.97363281,-105.14994812,1654.1000,0.0432,0.0000,1.4200
103268,1,1,7,39.97363281,-105.14994812,1654.1000,0.0432,0.0000,1.5400
104088,1,1,7,39.97362518,-105.14996338,1654.1000,0.2423,0.0000,1.5400
104203,1,1,8,39.97362518,-105.14996338,1654.0000,0.2423,0.0000,1.0900
105069,1,1,8,39.97362137,-105.14996338,1654.0000,0.3863,0.0000,1.0900
105241,1,1,8,39.97362137,-105.14996338,1654.8000,0.3863,0.0000,1.0900
106052,1,1,8,39.97361374,-105.14997864,1654.8000,0.4625,0.0000,1.0900
106184,1,1,9,39.97361374,-105.14997864,1655.0000,0.4625,0.0000,1.0200
107178,1,1,9,39.97360992,-105.14997864,1654.8000,0.0520,0.0000,1.0200
108071,1,1,9,39.97360992,-105.14997864,1654.8000,0.2747,0.0000,1.0200
108237,1,1,9,39.97360992,-105.14997864,1654.4000,0.2747,0.0000,1.0200
109123,1,1,9,39.97360992,-105.14997864,1654.4000,0.0257,0.0000,1.0200
109312,1,1,9,39.97360992,-105.14997864,1654.2000,0.0257,0.0000,1.0200
110091,1,1,9,39.97360992,-105.14997864,1654.2000,0.1055,0.0000,1.0200
110208,1,1,9,39.97360992,-105.14997864,1654.0000,0.1055,0.0000,1.0200
111094,1,1,9,39.97361755,-105.14996338,1654.0000,0.7480,126.6200,1.0200
