tick_ms,temperature_c
1368034,28.1875
1369028,28.1875
1370058,28.2500
1371035,28.2500
1372012,28.1875
1373006,28.2500
1374021,28.2500
1375061,28.2500
1376045,28.2500
1377068,28.1875
1378014,28.2500
1379035,28.2500
1380061,28.9375
1381033,28.2500
1382053,28.1875
1383033,28.2500
1384044,28.2500
1385051,28.2500
1386025,28.2500
1387077,28.2500
1388022,28.2500
1389067,28.2500
1390023,28.2500
1391024,28.2500
1392046,28.9375
1393030,28.2500
1394038,28.2500
1395008,28.2500
1396044,28.2500
1397043,28.2500
1398009,28.2500
1399005,28.2500
1400029,28.2500
1401009,28.2500
1402036,28.2500
1403031,28.2500
1404032,28.2500
1405026,28.2500
1406029,28.2500
1407023,28.2500
1408070,28.2500
1409014,28.2500
1410008,28.2500
1411016,28.2500
1412039,28.2500
1413022,28.2500
1414051,28.2500
1415022,28.2500
1416034,28.2500
1417013,28.2500
1418009,28.2500
1419017,28.2500
1420020,28.2500
1421008,28.2500
1422013,28.2500
1423054,28.2500
1424005,28.2500
1425003,28.2500
1426026,28.2500
1427013,28.2500
1428032,28.2500
1429005,28.2500
1430030,28.2500
1431034,28.2500
1432037,28.2500
1433009,28.2500
1434034,28.2500
1435041,28.2500
1436041,28.1875
1437025,28.2500
1438026,28.2500
1439027,28.2500
1440017,28.2500
1441024,28.2500
1442036,28.1875
1443007,28.2500
1444012,28.2500
1445018,28.2500
1446036,28.2500
1447013,28.1875
1448008,28.2500
1449008,28.2500
1450018,28.2500
1451029,28.2500
1452040,28.2500
1453012,28.2500
1454026,28.2500
1455044,28.2500
1456024,28.2500
1457020,28.2500
1458033,28.2500
1459023,28.2500
1460027,28.2500
1461024,28.2500
1462015,28.2500
1463018,28.2500
1464037,28.2500
1465009,28.2500
1466023,28.2500
1467039,28.2500
1468011,28.2500
1469018,28.2500
1470027,28.2500
1471060,28.2500
1472003,28.2500
1473011,28.2500
1474031,28.2500
1475016,28.2500
1476022,28.2500
1477020,28.2500
1478005,28.2500
1479026,28.2500
1480034,28.2500
1481018,28.2500
1482022,28.2500
1483013,28.2500
1484005,28.2500
1485048,28.9375
1486057,28.2500
1487020,28.2500
1488033,28.2500
1489029,28.2500
1490028,28.2500
1491025,28.2500
1492015,28.2500
1493019,28.2500
1494030,28.2500
1495029,28.2500
1496003,28.2500
1497034,28.2500
1498036,28.2500
1499015,28.2500
1500023,28.2500
1501062,28.2500
1502017,28.2500
1503011,28.2500
1504020,28.2500
1505013,28.2500
1506026,28.2500
1507039,28.2500
1508017,28.2500
1509035,28.2500
1510010,28.2500
1511025,28.2500
1512046,28.2500
1513044,28.2500
1514031,28.2500
1515012,28.2500
1516027,28.2500
1517003,28.2500
1518010,28.2500
1519011,28.3125
1520011,28.2500
1521007,28.2500
1522036,28.2500
1523033,28.2500
1524014,28.3125
1525035,28.3125
1526032,28.3125
1527036,28.3125
1528029,28.3125
1529026,28.3125
1530021,28.2500
1531022,28.2500
1532015,28.2500
1533022,28.2500
1534016,28.2500
1535029,28.2500
1536010,28.2500
1537042,28.2500
1538034,28.2500
1539014,28.2500
1540024,28.2500
1541020,28.2500
1542003,28.2500
1543035,28.3125
1544052,28.2500
1545024,28.2500
1546012,28.2500
1547007,28.2500
1548032,28.2500
1549017,28.2500
1550005,28.2500
1551023,28.2500
1552022,28.3125
1553015,28.2500
1554033,28.3125
1555034,28.2500
1556013,28.3125
1557040,28.3125
1558013,28.3125
1559028,28.2500
1560004,28.3125
1561033,28.2500
1562029,28.3125
1563017,28.3125
1564057,28.3125
1565008,28.3125
1566004,28.3125
1567017,28.3125
1568020,28.2500
1569018,28.3125
1570023,28.2500
1571005,28.2500
1572021,28.2500
1573017,28.3125
1574030,28.3125
1575004,28.3125
1576009,28.3125
1577004,28.3125
1578033,28.2500
1579040,28.2500
1580004,28.2500
1581005,28.2500
1582004,28.2500
1583016,28.3125
1584015,28.2500
1585031,28.2500
1586021,28.3125
1587043,28.9375
1588026,28.2500
1589004,28.3125
1590016,28.3125
1591034,28.2500
1592039,28.2500
1593019,28.2500
1594020,28.2500
1595013,28.2500
1596026,28.2500
1597055,28.2500
1598034,28.2500
1599015,28.2500
1600015,28.2500
1601006,28.2500
1602026,28.2500
1603045,28.2500
1604014,28.2500
1605035,28.2500
1606018,28.2500
1607003,28.2500
1608024,28.2500
1609034,28.2500
1610010,28.2500
1611028,28.2500
1612035,28.2500
1613016,28.2500
1614005,28.2500
1615036,28.2500
1616011,28.2500
1617030,28.2500
1618026,28.2500
1619020,28.2500
1620050,28.2500
1621012,28.1875
1622008,28.2500
1623004,28.2500
1624028,28.2500
1625014,28.2500
1626007,28.2500
1627009,28.2500
1628028,28.2500
1629023,28.2500
1630031,28.2500
1631015,28.2500
1632009,28.2500
1633023,28.2500
1634035,28.2500
1635032,28.2500
1636022,28.2500
1637006,28.2500
1638021,28.2500
1639003,28.2500
1640034,28.2500
1641010,28.2500
1642029,28.2500
1643022,28.2500
1644006,28.2500
1645018,28.1875
1646006,28.2500
1647009,28.2500
